name,accountName,balance,personalData/0/address,personalData/0/phone,personalData/0/birthday
Rhodes,UK940046518612918500,528011.89,Cataract Havemeyer Street 77,820749051,1970-12-23
Ila,LT661168866391997400,771857.89,Allensworth Cumberland Street 72,177744847,1986-6-20
Cora,LT678547300249800600,328265.67,Hiseville Berkeley Place 49,242358484,1993-12-6
Downs,LT254002226504776830,42138.21,Hinsdale Albany Avenue 14,479110545,1967-6-9
Tracey,AD778927272402495400,17038.92,Juntura Sumner Place 60,478537597,1998-8-10
Schroeder,AL278262191654757630,405638.33,Unionville Creamer Street 172,791132542,1969-9-6
Hoffman,LT260259546189664030,198962.19,Urie Desmond Court 98,775133416,1959-6-4
Justine,ES855793681171044200,191716.28,Cherokee Congress Street 101,149504594,1993-7-22
Gallegos,LT285342246171987970,587406.22,Whipholt Frost Street 106,822492173,1952-6-1
Morgan,UK283882155762089020,608688.35,Berwind Greenpoint Avenue 60,452500485,1990-9-22
Ayers,UK893027808735211800,59892.69,Bentley Micieli Place 93,842326708,1957-6-13
Tia,US756697946857492900,583791.66,Abrams Danforth Street 61,520568416,1968-5-7
Carrie,AD916872280561562500,515689.77,Taycheedah Guernsey Street 4,319440451,1962-5-23
Duran,LT630260733320492900,966773.09,Callaghan Calder Place 176,887506979,1956-7-27
Shelly,AL855912858509784700,669698.52,Duryea Vine Street 166,481428710,1955-8-9
Brown,UK452338326236651800,162896.08,Nutrioso Horace Court 56,303349650,1956-3-5
Samantha,UK646293979595867900,316947.53,Wheatfields Hooper Street 176,944929945,1990-10-11
Tisha,AL937524917761332700,508165.99,Vernon Portal Street 124,855222273,1953-2-6
Barnett,AD502108880120461500,555706.51,Tibbie Tech Place 24,438162308,1990-8-27
Kline,AD673714254328061300,475636.86,Curtice Denton Place 59,747958679,1956-5-13
Marcie,LT901258766991141000,651333.36,Movico Junius Street 132,498860178,1974-4-5
Craig,UK116934691971040900,433186.76,Bergoo Huron Street 58,214365342,1983-6-7
Pugh,US483948901609069100,785348.28,Fannett Melba Court 55,897087732,1994-11-15
Lott,LV146254459315159970,603940.34,Cawood Riverdale Avenue 77,106214120,1969-12-6
Carla,AD241290044325520420,258680.24,Farmers Quay Street 175,812702426,1963-8-18
Robbins,AD189519082881504200,42834.29,Davenport Neptune Avenue 54,125006976,1971-7-7
Shauna,LT218462680929758660,408108.87,Marne Bridgewater Street 113,176061570,1999-9-14
Fitzpatrick,AL829328767871490800,818625.79,Cleary Nichols Avenue 176,612933576,1980-3-24
Mari,ES488928157752061200,175590.88,Thermal Havens Place 194,737905588,1973-11-26
Janell,LV286558815560720130,820673.57,Tuskahoma Bevy Court 119,517138159,1957-9-28
Ward,ES624942338521104900,802889.65,Stockdale Aviation Road 171,624534890,1955-4-1
Cash,LV959218116031547600,426472.92,Concho Olive Street 48,452198335,1956-4-15
Bryan,AD188909010752733630,805818.84,Veguita Cheever Place 28,389160754,1965-11-25
Callie,LT380157884703932540,407102.18,Whitestone Glendale Court 104,879153743,1995-4-11
Marion,LV947464504205647600,390361.09,Mulino Folsom Place 106,266390933,1975-3-19
Dee,ES107006022914363740,3078.66,Roulette Porter Avenue 196,825557633,1958-8-10
Barrett,AD715000777022113900,238997.99,Berlin Bridge Street 181,976693300,1978-10-16
Renee,LT760943374304188300,616659.88,Wollochet Anchorage Place 77,647880126,1962-8-17
Marcia,ES213572862536731870,373377.99,Nipinnawasee Jackson Place 113,154426567,1971-2-10
Lloyd,AL918145665947268100,198614.82,Babb Knickerbocker Avenue 103,148155982,1971-3-19
Pearson,UK826032780874008400,612435.88,Grayhawk Louisa Street 79,196753696,1985-3-7
Randolph,LV693368931765794000,83616.47,Wacissa Provost Street 133,490568586,1993-7-14
Taylor,AD802868267530381200,578328.11,Flintville Herzl Street 44,500437262,1972-12-26
Dolores,US792394914543296100,316322.99,Guilford Grand Avenue 110,207169795,1982-9-2
Chang,US695703083713212300,445180.69,Bethpage Stoddard Place 177,582225682,1959-1-12
Sheryl,AD150642624000220540,996914.97,Ellerslie Poly Place 161,851717437,1970-11-21
Rebekah,US715153936116439600,534223.36,Fresno Knight Court 74,848281702,2000-3-16
Perez,LV265933862321279330,853789.08,Eureka Wolf Place 96,827959552,1959-8-6
Jordan,ES453206754161150340,589019.44,Allendale Crown Street 45,273819690,1985-6-30
Ryan,LT240695276409344860,310974.86,Welch Hamilton Avenue 137,464771614,1987-2-1
Johnnie,UK128700326399744400,634553.64,Floriston Schermerhorn Street 129,258795043,1952-3-16
Berg,LV750676043067337200,255967.71,Dubois Coventry Road 44,403534128,1967-5-14
Mariana,US131341249438196380,239272.04,Hampstead Stone Avenue 165,482520694,1973-1-30
Jacqueline,LT275020169814183800,611949.15,Epworth Moultrie Street 23,158324372,2000-2-19
Pate,AD413476026906584640,543589.73,Haena Montague Terrace 28,185239797,1999-6-5
Francis,AL575849469554759740,708840.38,Bourg Furman Avenue 139,528277527,1981-4-28
Jones,LV740814331586861800,896716.97,Manitou Jodie Court 95,788987915,1992-6-5
Bender,LV660858036393016400,743449.77,Whitestone Richardson Street 176,130582771,1964-7-26
Kristy,LT362214656244486340,34475.41,Why Lynch Street 70,892777668,1957-10-11
Lynn,AL393925257007250560,506326.2,Nogal Kenilworth Place 153,357630465,1957-6-9
Mckinney,LT202213957077312580,695712.23,Devon Sutter Avenue 199,406599121,1962-2-30
Downs,ES258342426569866780,731873.97,Brule Albemarle Road 5,795573457,1968-3-9
Vazquez,ES507003684082024700,10621.07,Calpine Wilson Street 193,667996845,1954-9-25
Lynnette,ES456148514621859800,453003.93,Shepardsville Engert Avenue 99,260158072,1984-11-9
Long,ES778293528364186200,740642.21,Alamo Hudson Avenue 113,445152618,1988-4-25
Jeanie,LV691508791600242300,163246.3,Frank Chester Street 18,763755765,1976-6-24
Keisha,LV491155512100978400,520351.39,Glendale Wakeman Place 144,453310585,1952-1-11
Jennings,US321344309034061600,535907.12,Sharon Kenmore Court 143,211029391,1964-1-17
Marietta,LV336037458834521340,929283.05,Noblestown Waldorf Court 80,795422762,1956-2-10
Wynn,AL677205068862124000,198744.93,Chelsea Narrows Avenue 128,857662606,1981-6-2
Sharlene,LV375992393266436740,858018.96,Clara Sullivan Street 116,503626278,1991-3-9
Horton,UK702001088632712600,65734.87,Spelter Charles Place 194,366624414,1953-2-2
Copeland,LT226042694850110430,82402.01,Gardners Losee Terrace 87,223549760,1961-10-26
Randall,AD977653143748340000,251428.45,Kiskimere Calyer Street 179,127738211,1971-4-6
Amber,LT715701724537111300,67209.78,Floris Brown Street 49,477999347,1986-9-30
Allison,LT647897926119991600,437439.31,Russellville Tompkins Place 8,290682169,1981-3-12
Olive,ES398147227944538430,218830.31,Croom Boardwalk  63,223660774,1965-12-13
Gretchen,AL585652268485547500,41828.6,Harold Wyckoff Avenue 86,731090583,1961-4-15
Macias,LV784274146542503300,647634.62,Websterville Interborough Parkway 33,546225480,1981-8-24
Francis,ES197973863485095170,360456.9,Marienthal Louise Terrace 133,393499972,1992-7-5
Carmela,AD610641970555403000,424030.33,Rivers Hendrix Street 167,183673593,1966-1-14
Hester,AL502599500493280640,368082.01,Norris Wallabout Street 62,526859131,1985-6-12
Hopper,ES355378579405497340,704626.63,Moquino Strauss Street 76,531920656,1989-9-10
Gutierrez,UK213560211742257660,29730.46,Fairforest Ditmars Street 103,274968571,1999-7-13
Alford,UK217786669077259840,426332.72,Gallina Lester Court 113,171609531,1954-10-15
Guerrero,AD468764244504098750,822066.28,Kirk Llama Court 147,812681829,1973-6-3
Darla,LV710181486287419800,282372.93,Albrightsville Elizabeth Place 192,721560097,1975-3-5
Morin,ES983015009144115500,264935.66,Chalfant Adler Place 95,657520703,1996-7-1
Deann,LT179551745566914180,671763.48,Movico Schenck Street 24,353637054,1979-7-13
Sparks,UK224564392424340500,517177.7,Gorst Cranberry Street 85,853466196,1956-2-27
Burris,AL465232879687014850,176299.88,Chical Mersereau Court 86,946193566,1995-9-8
Brigitte,UK568761230436255300,59247.59,Bakersville Ashland Place 105,991661175,1973-8-5
Sanchez,LV167605132789099170,96191.73,Flintville Bushwick Avenue 167,422079082,1975-3-16
Dorsey,UK390136822693454200,709367.04,Harmon Hutchinson Court 131,810779742,1957-3-10
Cheri,US134060889337125460,910659.87,Sedley Morgan Avenue 142,169799953,1964-12-19
Mandy,US445391891236119040,27674.35,Belmont Willmohr Street 175,285397059,1980-2-28
Millie,LT119502652785357440,647285.5,Bedias Stratford Road 180,474393842,1951-12-14
Tonya,UK144995899660580640,588808.52,Richville Fleet Place 12,763158139,1957-12-25
Woodward,UK419536573966124500,665219.4,Crayne Jefferson Street 105,874982557,1981-8-25
Haley,ES646081140780144900,555491.8,Fairfield Middleton Street 4,753943134,1955-2-5
Rich,UK140962434071284880,875417.78,Canoochee Estate Road 145,305389793,1985-9-1
Parrish,ES601946316659218800,560884.09,Gerton Emmons Avenue 78,783619123,1979-3-18
Genevieve,ES990849588843708800,82163.88,Columbus Montieth Street 117,735299652,2000-3-13
Hoffman,LT929143801327559200,725692.07,Coloma Minna Street 72,395629168,1956-8-29
Burns,AD912963147635990500,133258.95,Goochland Baycliff Terrace 110,557999744,1954-7-26
Riley,AL930215002272526600,612237.74,Derwood Grattan Street 71,145899056,1971-3-2
Trina,LT281682715279067550,855701.18,Rosine Colonial Court 165,617440379,1958-7-3
Donovan,LV903176801749395100,252489.62,Eureka Cambridge Place 145,132171804,1970-5-26
Knapp,ES108716578064410690,565296.54,Garberville Benson Avenue 107,931205219,1967-10-11
Potter,LV691825602676547600,915962.26,Yardville Hubbard Place 111,613912122,1978-3-19
Torres,LT808905213884184400,491665.33,Belva Beaver Street 139,494570463,1988-2-22
Martin,UK958445282650504000,402272.71,Fivepointville Lombardy Street 45,826950845,1975-6-13
Mai,UK762122643503108000,571163.07,Garnet Manor Court 122,329200203,1963-3-24
Maricela,AL559647693156480830,85046.97,Dana Senator Street 146,752086541,1975-9-11
Jami,UK641870198145148200,82724.52,Bellfountain Schweikerts Walk 37,905800696,1972-4-22
Sallie,AL660704012739444000,867050.08,Thynedale Gunnison Court 100,381409353,1961-3-16
Brittney,ES822529776508645000,543826.35,Ronco Albany Avenue 14,375066794,2000-5-18
Vivian,ES121417837788332530,559155.25,Lumberton Sedgwick Street 82,603934900,1988-8-19
Terra,AD995375352501714300,758502.41,Walland Dorchester Road 14,828698092,1967-2-24
Kristina,US825674276145681800,590765.39,Drummond Bergen Street 65,885750956,1953-5-11
Alvarez,UK746940301352070300,337538.86,Corinne Huntington Street 157,884828258,1975-12-22
Flynn,ES535128615452054000,471248.54,Dalton Jefferson Avenue 110,485338347,1961-6-19
Sondra,LV789842484647033500,409394.83,Weogufka Hausman Street 54,909129971,1974-10-27
Perry,LT704120534735862000,800213.59,Brecon Sheffield Avenue 140,494971429,1963-3-15
Violet,LT801467180417742300,49562.61,Northchase Miller Place 170,702749482,1970-3-22
Daugherty,LT703691484508426500,810967.94,Garfield Monroe Street 71,198268928,1958-10-9
Gale,UK883496992592524500,322544.56,Topanga Perry Place 82,609436838,2001-10-15
Angelina,US108844897924219970,581663,Jacksonburg Borinquen Pl 160,115685432,1968-10-18
Rose,AL818699350695014800,718103.1,Rew Maple Street 4,864381552,1990-4-6
Briana,UK755679337665234600,334412.13,Ona Hegeman Avenue 2,478722897,2001-2-14
Morris,AD153865607954980500,836730.65,Thatcher Hall Street 51,730839920,1965-9-10
Tiffany,LT505530611141871550,812776.88,Whipholt Gallatin Place 11,111730778,1969-9-13
Nixon,LT127565130144867410,594402.03,Darlington Tennis Court 143,912243339,1966-6-31
Hannah,US946361569499559700,132405.66,Bloomington Wolf Place 130,105606086,1987-3-27
Cherie,LT355212877737094100,900644.59,Knowlton Harrison Avenue 108,549317355,1991-3-27
Gates,US305051907364094100,647497.41,Ernstville Tampa Court 97,998871744,1975-5-12
Patrick,LV802424124726642200,204471.81,Foxworth Chapel Street 56,635616811,1959-1-10
Olson,ES682807664169308500,35952,Ilchester Bath Avenue 132,333410197,1988-11-10
Janis,AL873209778250133600,741131.38,Bordelonville Brevoort Place 77,416073634,1963-4-5
Macdonald,ES798470951218881200,499442.91,Eastvale Montgomery Place 180,988301553,1970-2-6
Magdalena,UK478655890639843140,618946.06,Lemoyne Gain Court 71,968350766,1990-2-28
Bailey,AL604299836301408000,790862.34,Edenburg Taylor Street 63,684511024,1996-8-29
Sara,LV934580066973863200,255438.63,Sterling Coffey Street 131,194509223,2000-11-15
Ellison,LT498692111881793860,158119.11,Rosedale Langham Street 82,761501353,1973-10-18
Lee,US203493659257844060,75588.03,Nash Gatling Place 161,597399855,1998-8-22
Mathews,US310630381738622700,813088.51,Kempton Monitor Street 36,228888374,1996-10-10
Holmes,UK298099340961853400,840119.84,Chamizal Clarkson Avenue 82,185667019,1988-4-5
Lois,US509176980981738000,223734.76,Noxen Quentin Street 106,836144975,1986-8-4
Cabrera,US270610320915947800,394438.1,Bethany Guider Avenue 194,617529868,1964-1-10
Karla,AL237187625798489280,601188.49,Draper Hamilton Avenue 8,985388134,1963-8-16
Hooper,UK870553046235425000,687638.25,Bynum Barlow Drive 79,890153633,1976-12-2
Hale,ES847681237728436900,628774.03,Waverly Underhill Avenue 73,205324808,1989-6-2
Barry,LT731550378481210900,536902.8,Elrama McClancy Place 33,253382817,1960-9-3
Parks,US446025811812088640,868592.39,Kipp Hendrickson Street 4,626254282,1955-3-14
Violet,ES164495030487174660,34832.45,Defiance Dooley Street 3,276286574,1958-1-29
Faith,AD932998870661492200,367900.17,Skyland Beverley Road 177,546429227,1996-8-7
Sandoval,LT834101707800005800,147418.77,Chumuckla Seagate Avenue 88,897766909,1998-10-1
Eula,AL741456050070625200,386892.14,Vale Liberty Avenue 88,556349370,1954-5-16
Morgan,US722024072855111000,102574.59,Roland Estate Road 190,856260523,1981-7-5
Wilkins,UK255353907467240130,838469.18,Linganore High Street 91,782172026,1986-8-7
Ruby,LV141370274128121840,767735.23,Libertytown Aster Court 52,142988883,1984-2-30
Josefina,US207760499300999870,913046.09,Mammoth Verona Place 67,132719797,1956-6-31
Huffman,LT697766078225567100,552236.9,Macdona Judge Street 140,502797929,1986-8-24
Holloway,US615391841460793300,378823.82,Lloyd Perry Terrace 199,933405238,1969-3-7
Vickie,AL964883577881524700,699402.85,Clara Sutter Avenue 23,970521363,1979-1-14
Peterson,ES400559037343379400,417908.61,Hickory Maujer Street 114,692240601,1969-7-21
Nolan,LV893166809472613500,275225.33,Gilmore Fountain Avenue 193,510740269,1984-2-9
Kasey,LT200020911305863170,482660,Somerset Cadman Plaza 111,525823139,1998-6-14
Lou,US986681555223446100,264636.78,Chaparrito Bartlett Place 198,803789548,1964-3-31
Alexandra,AD156092885472831420,42940.84,Springdale Chestnut Avenue 185,692849220,1989-10-16
Stark,LV454364521771901800,908356.92,Topaz Jefferson Street 58,885309092,1956-2-2
Dorothy,AL853797091017147600,880473.97,Dunbar Madeline Court 119,407642144,1993-11-3
Bennett,LV940801097924867800,771065.48,Waverly Troy Avenue 8,490207749,1995-4-23
Atkins,UK394268187012872960,211386.02,Carbonville Lafayette Avenue 95,886473935,1997-4-28
Norman,LT271901555020213060,294035.65,Hebron Seabring Street 197,801859330,1973-7-9
Reed,LT653660787069581300,700243.78,Terlingua Harwood Place 97,743548531,1955-9-24
Farmer,LT838549754877852000,9511.66,Whitehaven Vine Street 142,263548669,1972-12-21
Carter,AD854014085885009200,822177.76,Manitou Thomas Street 4,270658230,1985-10-13
Clarke,LV451698967818671500,258164.42,Jenkinsville Debevoise Street 36,896184026,1971-8-9
Simone,LT137565605890926320,261159.87,Troy Hastings Street 14,183935308,1986-3-26
Theresa,US633006063264556000,762901.11,Cressey Gerry Street 179,314548622,1988-3-18
Trevino,US679629438343941000,146248.94,Sterling Fanchon Place 20,921083324,1997-7-4
Kim,AL845325956372486900,115043.64,Glenville Kensington Street 118,578608339,1966-1-1
Marjorie,US335450331472695040,111338.86,Groveville Sunnyside Court 54,176032211,1956-8-28
Carver,US417370490734299600,253596.35,Eagletown Fayette Street 101,403171689,1991-2-29
Tia,UK457277230497307900,221201.59,Chestnut Charles Place 59,693938846,1998-2-10
Romero,AL343616517659179400,516790.82,Grandview Fenimore Street 29,659368145,1978-11-2
Walsh,US307603329762261250,163139.53,Glendale Durland Place 59,828692656,1976-8-14
Jayne,ES816865843087789300,200446.74,Lafferty Lawton Street 67,480512900,1998-1-21
Dawson,UK916665677282927400,489140.9,Faxon Myrtle Avenue 73,342757712,2001-2-7
Parker,UK677300045567650000,607891.27,Hollymead Ridge Court 93,691410370,2000-9-1
Brewer,LT348062693320729000,966284.84,Homeworth Herkimer Court 154,365945475,1955-4-31
Roth,LV885132082979738400,352452.01,Cedarville Hale Avenue 10,240258765,1999-11-9
Joanna,AL118704207039585500,254090.07,Axis George Street 25,612401276,1976-7-6
Molly,AL662369899647041300,370854.9,Ilchester Elmwood Avenue 1,205537684,2000-5-28
Sophie,AD128482586177120380,925103.68,Cumberland Vanderbilt Avenue 74,681384631,1969-11-28
Newton,LT443790182951116700,406838.42,Madrid Banker Street 104,606941532,1977-2-10
Combs,UK994740410345018600,42918.01,Neibert Harrison Place 198,801584788,1999-2-20
Janna,LT835490160490440200,216050.33,Berwind Coleman Street 37,665637819,1971-6-31
Townsend,ES504398581360914240,212418.17,Condon Duffield Street 38,427963158,1968-9-20
Young,ES567396494942624300,464623.85,Saddlebrooke Berry Street 185,349028606,1959-9-15
Beatrice,AL135962640661831360,178815.86,Hegins Bulwer Place 196,728946678,1994-10-6
Anderson,UK589250323947436300,418386.04,Shasta Elizabeth Place 24,510845140,1972-3-2
Foley,LT899704932936933900,970984.83,Abiquiu Freeman Street 189,731731812,1984-2-21
King,AD501102207590723000,869069.18,Greensburg Dictum Court 147,344153564,1976-11-28
Randall,LV163823213645099650,226639.91,Gracey Pioneer Street 175,665596985,1974-12-1
Rosemarie,US364774353255960060,971456.4,Chesapeake Martense Street 78,715542635,1999-10-17
Brady,ES730115233658941000,313933.05,Brethren Neptune Court 158,115952818,1993-8-5
Sawyer,ES288321960699366000,980980.74,Kempton Cass Place 184,633062725,1986-8-4
Petersen,US756902499145261400,377533.3,Woodlake Frost Street 88,874399159,1996-8-21
Cannon,ES309570083105946000,439763.49,Jugtown Murdock Court 154,387617457,1974-2-4
Morris,AD833512378249758300,59017.84,Dunnavant Grand Avenue 71,677718038,1962-1-8
Kitty,UK232933380343930300,168294.98,Gerton Virginia Place 30,353227277,1988-5-23
Marva,US788100586909837000,897034.04,Hackneyville Broadway  169,775299123,1951-9-31
Maxine,AL421091688311271000,226797.05,Newcastle Cook Street 126,753034352,1986-5-19
Janice,LV299629553911304300,302225.61,Forbestown Highland Place 152,559644791,1990-2-25
Dennis,LV941251720788262100,302036.59,Hillsboro Concord Street 19,946341190,1973-12-14
Carolina,ES539698273542572860,493173.2,Wacissa Newel Street 80,604212196,1978-9-5
Sosa,UK363805209055367040,326720.1,Hamilton Euclid Avenue 72,688477746,1955-2-10
Sonya,AD368774589180973800,684747.96,Blanco Hall Street 126,293513573,1968-12-15
Delia,ES470963764471708350,240479.21,Blandburg Ford Street 125,514379315,1952-10-9
Britt,UK197234988017095420,525075.79,Rodanthe Clifford Place 97,592752525,1966-2-30
Rosie,UK215038749450201540,53605.37,Deputy Roebling Street 130,960158192,1971-11-7
Farley,ES183184581598253340,140035.92,Yorklyn Irving Avenue 82,232342215,1975-4-22
Jacquelyn,AD257629105849287420,311367.51,Lutsen Franklin Avenue 135,714041041,1969-9-26
Bonita,AL505461044477137150,367778.98,Rossmore Cranberry Street 103,354687979,1961-8-11
Barr,AD522131597970453800,707807.39,Henrietta Chapel Street 96,224814518,1992-4-14
Raquel,ES554189841435354900,459469.76,Clarksburg Hart Place 94,155742957,1997-9-17
Deleon,US357359169708335360,94035.65,Dixie Cedar Street 177,568034481,1975-6-14
Cristina,LT953398630637644200,649955.07,Saticoy Bay Parkway 105,924589367,1969-5-15
Lenora,ES663749751287596800,49277.89,Wawona Kossuth Place 19,717214451,1977-9-16
Nora,ES751873396821392800,989453.76,Why Rutland Road 167,567545140,1971-5-19
Cleo,AL147219049996689380,964043.04,Caroleen Porter Avenue 11,429747353,1970-7-15
Moon,AL148596585475672350,624440.39,Alleghenyville Lawn Court 77,122816127,1993-4-6
Solis,AD320154755633823000,391565.84,Katonah Ashford Street 34,436435542,1968-1-11
Conrad,US494130348153014500,177824.45,Kansas Melrose Street 116,638903450,1966-2-2
Wilma,AD833145770688765400,688525.29,Dubois Branton Street 196,107449275,1976-8-31
Coffey,UK731320176545121500,173385.99,Gardiner Beverly Road 31,869406930,1964-3-27
Kristin,AL887765602798625900,701914.68,Richville Manhattan Court 40,316461110,1979-8-3
Andrews,LT265541668502372400,446765.48,Mulino Sullivan Place 76,852460363,1976-6-17
Fay,LT498560688308368640,466101.64,Ryderwood Imlay Street 157,738465780,1959-8-1
Kaufman,UK723580159004164900,366216.16,Wright Dupont Street 195,665209999,1997-2-26
Rachel,AD860809613904947800,236852.15,Worton Gunnison Court 93,392865351,1974-2-25
Kimberley,ES966279486131055000,684640.63,Cornfields Amity Street 178,358716888,1977-1-13
Sophia,US987697358115222700,212395.81,Fowlerville Amherst Street 192,738765383,1988-4-8
Lauri,LT429100905073811200,228946.1,Magnolia Campus Place 182,301317013,1991-8-26
Hilda,AL613797548166191600,687952.32,Hachita Hancock Street 35,277881068,1978-9-8
Decker,AD231928233417739900,581276.35,Strong Garnet Street 64,642386986,1975-4-31
Betsy,LT363103302119416060,221812,Wells Bergen Avenue 53,469666630,1978-3-13
Rosalinda,US881357048430389000,202520.45,Wheatfields Hubbard Place 2,655622728,1973-6-4
Lorena,AD322552850681292800,794544.28,Camas Conselyea Street 37,917654932,1989-8-9
Clarissa,US393319893637417200,965514.68,Vincent Brooklyn Road 183,700814366,1972-6-1
Jerry,UK166273563848768400,412961.24,Bend Miami Court 93,467605953,1981-6-12
Jacobson,ES544960722487075900,421017.01,Zortman Bijou Avenue 196,397853433,1972-3-26
